id,site,age_cat,prepost,fulldate,attend,dist,MS,surv,blue_nextyear,lyre_nextyear
D154259,TEE,adult,pre,2005-02-25,1,7.16,1,0,NA,NA
D154259,TEE,adult,post,2005-05-24,NA,NA,NA,NA,NA,NA
D154299,TEE,adult,pre,2005-01-13,1,9.49,3,0,NA,NA
D154299,TEE,adult,post,2005-05-26,NA,NA,NA,NA,NA,NA
D211312,NYR,adult,pre,2005-01-31,0.88,17.12,0,0,NA,NA
D211312,NYR,adult,post,2005-05-14,NA,NA,NA,NA,NA,NA
D211334,LEH,adult,pre,2005-02-18,1,7.21,1,1,0.266,212
D211334,LEH,adult,post,2005-05-19,NA,NA,NA,NA,0.266,212
D211334,LEH,adult,pre,2006-01-17,0.97,16.28,1,0,NA,NA
D211334,LEH,adult,post,2006-05-12,NA,NA,NA,NA,NA,NA
D211431,NYR,adult,pre,2005-03-07,0.93,2,5,0,NA,NA
D211431,NYR,adult,post,2005-05-21,NA,NA,NA,NA,NA,NA
D211445,TEE,adult,pre,2005-02-25,0.99,11.18,11,1,0.27,232
D211445,TEE,adult,post,2005-05-21,NA,NA,NA,NA,0.27,232
D217821,NYR,adult,pre,2006-01-20,0.89,3.16,2,0,NA,NA
D217896,KUM,adult,pre,2006-01-30,0.89,6.95,9,1,NA,NA
D217896,KUM,adult,post,2006-05-10,NA,NA,NA,NA,NA,NA
D217910,NYR,adult,pre,2005-02-15,0.95,10,0,1,0.256,232
D217910,NYR,adult,post,2005-05-23,NA,NA,NA,NA,0.256,232
D217910,NYR,adult,pre,2006-01-13,0.97,47,0,0,NA,NA
D217910,NYR,adult,post,2006-05-10,NA,NA,NA,NA,NA,NA
D217911,NYR,adult,pre,2005-01-21,0.83,15.23,0,1,0.272,225
D217911,NYR,adult,post,2005-05-17,NA,NA,NA,NA,0.272,225
D217949,NYR,adult,pre,2006-02-04,0.89,18.12,5,1,0.266,234
D217949,NYR,adult,pre,2007-01-24,0.94,4,11,0,NA,NA
D217949,NYR,adult,post,2007-05-09,NA,NA,NA,NA,NA,NA
D217961,NYR,adult,pre,2006-01-20,0.98,43,0,1,0.264,226
D217961,NYR,adult,post,2006-05-13,NA,NA,NA,NA,0.264,226
D217964,NYR,adult,pre,2006-02-04,1,36.01,3,0,NA,NA
D217964,NYR,adult,post,2006-05-15,NA,NA,NA,NA,NA,NA
D217965,NYR,adult,pre,2006-01-20,0.74,58.01,0,1,0.242,216
D217977,KUM,adult,post,2006-05-13,NA,NA,NA,NA,NA,NA
D229025,KUM,adult,pre,2007-01-24,0.77,19.42,1,0,NA,NA
D229082,NYR,adult,pre,2006-01-20,0,NA,NA,1,NA,NA
D229093,NYR,adult,pre,2006-01-13,0,NA,NA,1,NA,NA
D229093,NYR,adult,post,2006-05-15,NA,NA,NA,NA,NA,NA
D229096,NYR,adult,pre,2007-02-02,0.93,13.04,4,1,0.232,215
D229097,SAA,adult,pre,2006-01-24,0.97,10.05,0,0,NA,NA
D229097,SAA,adult,post,2006-05-07,NA,NA,NA,NA,NA,NA
D229103,SAA,adult,pre,2006-01-10,0.89,24.7,0,0,NA,NA
D229103,SAA,adult,post,2006-05-06,NA,NA,NA,NA,NA,NA
D229160,SAA,adult,pre,2005-02-10,1,11.18,16,1,0.23,232
D229160,SAA,adult,post,2005-05-13,NA,NA,NA,NA,0.23,232
D229160,SAA,adult,pre,2006-02-13,0.96,15.81,34,1,0.23,228
D229160,SAA,adult,post,2006-05-11,NA,NA,NA,NA,0.23,228
D229160,SAA,adult,post,2007-05-05,NA,NA,NA,NA,NA,NA
D229161,SAA,adult,pre,2005-02-10,0.98,14.14,4,0,NA,NA
D229161,SAA,adult,post,2005-05-13,NA,NA,NA,NA,NA,NA
D229162,SAA,adult,pre,2007-01-23,0.84,19.42,0,0,NA,NA
D229165,KUM,adult,pre,2007-03-12,0.96,19.5,1,1,0.239,210
D229165,KUM,adult,post,2007-05-06,NA,NA,NA,NA,0.239,210
D229167,KUM,adult,pre,2006-02-16,0.94,13.6,7,1,0.26,218
D229167,KUM,adult,pre,2007-01-16,0.84,29.15,9,1,0.309,217
D229170,SAA,adult,pre,2006-02-13,0.97,2.24,3,1,0.25,223
D229170,SAA,adult,pre,2007-01-23,0.97,4,12,0,NA,NA
D229171,SAA,adult,pre,2006-02-28,NA,NA,NA,NA,NA,NA
D229171,SAA,adult,post,2006-05-11,NA,NA,NA,NA,NA,NA
D229186,SAA,adult,pre,2006-01-10,0.93,41.15,1,1,NA,NA
D229192,KUM,adult,pre,2006-01-23,1,6.58,1,0,NA,NA
D229192,KUM,adult,post,2006-05-11,NA,NA,NA,NA,NA,NA
D229193,KUM,adult,pre,2007-02-09,1,6.4,16,1,0.258,230
D229509,KUM,adult,pre,2006-01-30,0.19,NA,0,1,NA,NA
D229633,SAA,adult,pre,2006-02-06,1,15.52,0,1,0.273,247
D229633,SAA,adult,post,2006-05-11,NA,NA,NA,NA,0.273,247
D229658,KUM,adult,pre,2007-02-09,0.44,20.81,0,1,0.255,209
D229658,KUM,adult,post,2007-05-07,NA,NA,NA,NA,0.255,209
D229679,KUM,adult,pre,2006-02-27,0.61,28.52,0,1,0.263,235
D229679,KUM,adult,post,2006-05-12,NA,NA,NA,NA,0.263,235
D229679,KUM,adult,pre,2007-01-16,0.93,29.41,8,1,0.312,236
D229679,KUM,adult,post,2007-05-06,NA,NA,NA,NA,0.312,236
D229714,NYR,yearling,pre,2006-01-13,0.39,56.08,1,0,NA,NA
D229718,NYR,yearling,pre,2006-01-13,0.16,NA,0,1,0.213,231
D229734,KUM,adult,pre,2006-01-23,0.89,21.64,0,1,NA,NA
D229734,KUM,adult,post,2006-05-11,NA,NA,NA,NA,NA,NA
D229735,KUM,adult,pre,2007-02-09,0.42,44.69,0,0,NA,NA
D229735,KUM,adult,post,2007-05-06,NA,NA,NA,NA,NA,NA
D229771,NYR,adult,pre,2006-01-20,0,NA,0,1,NA,NA
D229771,NYR,adult,post,2006-05-11,NA,NA,NA,NA,NA,NA
D229772,NYR,adult,post,2007-05-09,NA,NA,NA,NA,0.243,218
D229775,SAA,adult,pre,2007-01-30,0.04,11.66,0,0,NA,NA
D229775,SAA,adult,post,2007-05-10,NA,NA,NA,NA,NA,NA
D229776,LEH,adult,post,2007-05-09,NA,NA,NA,NA,NA,NA
D229783,NYR,adult,pre,2006-01-26,0.75,18.36,0,1,NA,NA
D229783,NYR,adult,post,2006-05-17,NA,NA,NA,NA,NA,NA
D237277,NYR,adult,pre,2007-02-23,0.94,19.65,2,0,NA,NA
D237277,NYR,adult,post,2007-05-08,NA,NA,NA,NA,NA,NA
D237278,NYR,adult,pre,2007-02-23,0.97,12.04,1,0,NA,NA
D237278,NYR,adult,post,2007-05-15,NA,NA,NA,NA,NA,NA
D237361,NYR,yearling,pre,2007-01-24,0.93,15.03,0,1,0.266,223
D237361,NYR,yearling,post,2007-05-15,NA,NA,NA,NA,0.266,223
D237378,NYR,yearling,pre,2007-02-02,0.87,5.39,3,0,NA,NA
D237378,NYR,yearling,post,2007-05-15,NA,NA,NA,NA,NA,NA
D237389,KUM,yearling,post,2007-05-09,NA,NA,NA,NA,NA,NA
D237394,NYR,yearling,post,2007-05-09,NA,NA,NA,NA,0.233,226
D217821,NYR,adult,post,2006-05-15,NA,NA,NA,NA,NA,NA
D217949,NYR,adult,post,2006-05-17,NA,NA,NA,NA,0.266,234
D217965,NYR,adult,post,2006-05-10,NA,NA,NA,NA,0.242,216
D217977,KUM,adult,pre,2006-01-30,0.94,5.1,2,0,NA,NA
D229025,KUM,adult,post,2007-05-07,NA,NA,NA,NA,NA,NA
D229082,NYR,adult,post,2006-05-12,NA,NA,NA,NA,NA,NA
D229096,NYR,adult,post,2007-05-08,NA,NA,NA,NA,0.232,215
D229160,SAA,adult,pre,2007-01-30,0.64,15.23,1,0,NA,NA
D229162,SAA,adult,post,2007-05-15,NA,NA,NA,NA,NA,NA
D229167,KUM,adult,post,2006-05-10,NA,NA,NA,NA,0.26,218
D229167,KUM,adult,post,2007-05-04,NA,NA,NA,NA,0.309,217
D229170,SAA,adult,post,2006-05-10,NA,NA,NA,NA,0.25,223
D229170,SAA,adult,post,2007-05-05,NA,NA,NA,NA,NA,NA
D229186,SAA,adult,post,2006-05-11,NA,NA,NA,NA,NA,NA
D229193,KUM,adult,post,2007-05-04,NA,NA,NA,NA,0.258,230
D229509,KUM,adult,post,2006-05-16,NA,NA,NA,NA,NA,NA
D229516,LEH,yearling,post,2006-05-13,NA,NA,NA,NA,NA,NA
D229714,NYR,yearling,post,2006-05-15,NA,NA,NA,NA,NA,NA
D229718,NYR,yearling,post,2006-05-16,NA,NA,NA,NA,0.213,231
D229772,NYR,adult,pre,2007-01-24,0.88,20.22,0,1,0.243,218
D229776,LEH,adult,pre,2007-01-23,0.79,16,0,1,NA,NA
D237389,KUM,yearling,pre,2007-02-20,0.58,38.01,0,1,NA,NA
D237394,NYR,yearling,pre,2007-02-15,0.97,6.4,10,1,0.233,226
D229516,LEH,yearling,pre,2006-01-31,1,13.93,2,1,NA,NA
